
mm/dd,2018:BON:tempc (C),2017:BON:tempc (C),2016:BON:tempc (C),2015:BON:tempc (C),2014:BON:tempc (C),2013:BON:tempc (C),2012:BON:tempc (C),2011:BON:tempc (C),2010:BON:tempc (C),2009:BON:tempc (C),2008:BON:tempc (C),2007:BON:tempc (C),2006:BON:tempc (C),2005:BON:tempc (C),2004:BON:tempc (C),2003:BON:tempc (C),2002:BON:tempc (C),2001:BON:tempc (C),2000:BON:tempc (C),1999:BON:tempc (C),1998:BON:tempc (C),1997:BON:tempc (C),1996:BON:tempc (C),1995:BON:tempc (C),1994:BON:tempc (C),1993:BON:tempc (C)
9/3,15.796,21.830,20.925,20.558,20.934,22.135,19.630,20.071,19.492,21.055,19.308,21.413,20.058,20.720,20.446,21.335,20.518,21.282,19.719,20.233,21.838,22.330,20.046,20.488,20.417,20.639
9/4,16.133,21.918,20.654,20.304,20.624,22.003,19.654,19.969,19.660,21.032,19.309,21.387,20.436,20.624,20.165,21.611,20.389,21.112,19.648,20.240,21.900,22.367,19.757,NA,20.242,20.776
9/5,17.990,21.665,20.457,20.092,20.620,21.788,19.850,20.346,19.413,20.957,19.290,21.078,20.561,20.487,19.798,21.818,20.218,20.714,19.404,20.090,21.937,21.938,19.565,NA,20.283,20.646
9/6,19.748,21.720,20.273,19.658,20.663,21.500,19.893,20.665,19.120,20.760,19.470,20.854,20.619,20.521,19.800,21.819,20.017,20.152,19.213,19.826,21.751,21.738,19.396,NA,20.335,20.621
9/7,20.000,21.763,20.080,19.408,20.613,21.334,19.871,20.743,19.103,20.459,19.741,20.630,20.515,20.593,19.871,21.601,19.746,19.743,19.308,19.491,21.673,21.638,19.561,NA,20.558,20.773
9/8,19.978,21.675,20.068,19.466,20.760,21.451,19.893,20.826,18.982,20.221,19.721,20.373,20.484,20.647,19.923,21.185,19.443,19.643,19.355,19.133,21.489,21.475,19.713,NA,20.488,21.038
9/9,19.949,21.609,20.008,19.758,20.652,21.710,19.832,21.028,18.962,20.161,19.835,20.143,20.314,20.310,19.829,20.817,19.494,19.651,19.133,19.086,20.882,21.152,19.713,NA,20.158,21.092
9/10,19.923,21.516,19.942,19.889,20.528,21.894,19.538,21.018,18.696,20.325,19.903,19.934,20.103,19.834,19.828,20.599,19.549,19.828,18.994,18.873,20.467,20.743,19.845,NA,19.971,21.083
9/11,19.777,21.443,20.000,19.887,20.163,21.926,19.308,21.004,18.506,20.420,19.826,20.057,20.131,19.805,20.029,20.399,19.852,19.128,19.073,18.887,20.439,21.054,19.800,NA,19.942,20.917
9/12,19.652,21.500,19.838,20.119,19.518,22.194,19.202,20.913,18.606,20.338,19.811,20.314,20.079,19.792,19.958,20.256,19.217,19.953,19.424,18.874,20.664,20.930,19.617,NA,19.867,20.496
9/13,19.398,21.372,19.589,20.300,19.461,22.274,18.849,20.738,18.803,20.504,19.889,20.563,19.922,19.721,19.691,19.897,20.170,20.253,19.564,18.638,20.857,20.852,19.367,NA,19.792,20.058
9/14,19.302,20.923,19.475,19.887,19.376,22.193,18.765,20.553,18.898,20.630,19.755,20.542,19.375,19.571,19.327,19.673,20.271,20.583,19.628,18.688,20.903,20.583,19.250,NA,19.567,19.842
9/15,19.161,20.660,NA,19.218,19.413,22.253,19.137,NA,18.887,20.632,19.503,NA,19.144,19.293,19.300,19.696,20.153,20.700,19.678,18.761,21.358,20.733,19.191,NA,19.692,19.829
9/16,19.022,20.461,NA,18.886,19.536,22.028,19.398,NA,18.926,20.618,19.511,NA,19.070,19.024,19.165,19.578,19.892,20.678,19.524,18.591,21.565,20.474,18.850,NA,19.821,19.792
9/17,18.910,20.226,NA,NA,19.753,21.670,19.393,NA,19.045,NA,19.643,NA,18.973,18.796,18.931,19.100,18.811,20.275,19.370,18.475,21.405,20.352,18.673,NA,19.596,19.558
9/18,18.903,20.161,NA,NA,19.811,21.304,19.373,NA,19.157,NA,NA,NA,18.961,18.649,18.742,19.090,19.373,19.840,19.358,18.660,21.216,20.208,NA,NA,19.420,19.800
9/19,18.875,19.769,NA,NA,19.838,NA,19.521,NA,19.260,NA,NA,NA,18.786,18.675,18.611,19.253,19.155,19.471,19.381,18.748,20.862,20.216,NA,NA,19.629,19.625
9/20,18.703,19.436,NA,NA,19.942,NA,NA,NA,19.123,NA,NA,NA,18.666,18.668,18.467,19.122,18.982,19.206,19.391,18.817,20.587,20.423,NA,NA,20.046,19.092
9/21,18.499,19.176,NA,NA,19.936,NA,NA,NA,18.895,NA,NA,NA,NA,18.459,18.283,19.038,18.866,19.176,19.180,18.908,20.372,19.991,NA,NA,20.089,18.633
9/22,18.479,19.028,NA,NA,19.954,NA,NA,NA,NA,NA,NA,NA,NA,18.240,18.173,18.968,18.680,19.123,18.510,18.999,20.349,19.950,NA,NA,19.684,18.483
9/23,18.450,NA,NA,NA,19.845,NA,NA,NA,NA,NA,NA,NA,NA,18.185,18.076,19.113,18.653,19.128,18.108,19.024,20.342,20.250,NA,NA,20.529,18.513
9/24,18.326,NA,NA,NA,19.663,NA,NA,NA,NA,NA,NA,NA,NA,18.088,18.037,19.218,19.006,19.215,17.676,18.665,20.273,19.733,NA,NA,20.138,18.379
9/25,18.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.917,18.152,19.116,19.249,19.445,17.505,18.183,20.003,19.538,NA,NA,20.471,18.492
9/26,17.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.899,18.295,19.254,19.075,19.363,17.483,17.698,19.695,19.261,NA,NA,20.800,18.704
9/27,18.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.896,18.267,19.254,18.988,19.136,17.608,17.385,19.761,18.683,NA,NA,20.556,18.650
9/28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.921,18.289,19.254,18.929,19.013,17.818,17.107,19.792,18.652,NA,19.640,20.556,18.700
9/29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.906,18.298,19.208,17.152,18.940,17.878,17.015,19.701,18.829,NA,19.467,20.000,18.889
9/30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.923,18.118,19.071,18.206,18.717,17.930,17.260,19.451,18.758,NA,19.367,20.000,18.889
10/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.919,17.932,18.934,17.879,18.403,18.074,17.303,19.565,18.871,NA,19.192,20.000,18.333
10/2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.703,17.728,18.815,17.710,18.546,17.817,17.164,19.215,18.786,NA,19.100,20.000,18.333
10/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.378,17.718,18.782,17.480,18.600,17.413,16.875,18.817,18.821,NA,18.733,20.000,18.889
10/4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.225,17.667,18.782,17.182,18.362,17.108,16.796,18.701,18.205,NA,18.442,20.000,18.889
10/5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.158,17.790,18.700,16.942,17.803,16.793,16.761,18.592,17.913,NA,18.108,19.444,18.333
10/6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.041,17.963,18.640,16.948,17.710,16.163,15.982,18.286,17.617,NA,18.075,18.889,18.333
10/7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.134,17.920,18.509,16.903,17.727,16.050,16.470,18.194,17.376,NA,18.046,18.889,17.778
10/8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.205,17.880,18.332,16.847,17.579,16.295,16.413,18.225,17.467,NA,17.796,18.889,17.778
10/9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.100,17.693,18.146,16.884,17.323,16.574,16.373,17.988,16.963,NA,17.642,18.889,17.778
10/10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.948,17.483,17.904,16.575,16.898,16.233,16.241,17.826,16.563,NA,17.429,18.889,18.333
10/11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.817,17.338,17.630,16.233,16.597,16.026,15.943,17.425,16.454,NA,17.167,18.889,17.778
10/12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.671,17.327,17.298,15.684,16.398,15.951,15.917,16.941,16.267,NA,16.808,18.333,17.222
10/13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.454,17.364,16.965,15.160,16.189,15.767,15.859,17.035,16.296,NA,16.558,17.778,17.222
10/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.199,17.256,16.866,14.953,15.881,15.588,15.579,16.958,16.354,NA,16.438,17.778,17.222
10/15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.099,17.288,16.712,14.745,15.676,15.476,15.202,16.666,15.678,NA,16.321,17.222,17.222
10/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.188,17.372,16.758,14.829,15.618,15.529,14.840,16.343,15.742,NA,16.288,16.667,17.222
10/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.139,17.298,16.801,14.948,15.524,15.530,14.504,16.140,15.725,NA,16.225,16.667,17.222
10/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.194,16.882,16.925,15.061,15.451,15.651,14.307,15.890,15.417,NA,15.979,16.667,17.222
10/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.240,16.529,16.953,15.270,15.383,15.601,14.269,15.493,15.296,NA,15.546,16.667,17.222
10/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.167,16.462,16.865,15.326,15.322,15.580,14.193,15.125,15.129,NA,15.158,16.111,16.667
10/21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.953,16.325,16.981,15.309,15.096,15.303,14.222,14.910,14.783,NA,15.033,16.111,16.667
10/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.744,15.963,17.137,15.326,14.713,14.957,14.274,14.859,14.808,NA,14.838,16.111,16.667
10/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.743,15.713,16.888,15.094,14.276,14.283,14.225,14.855,14.708,NA,14.621,16.111,15.556
10/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.850,15.515,16.325,14.629,13.813,13.862,14.352,14.754,14.638,NA,14.488,16.111,16.667
10/25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.858,15.166,15.751,14.317,13.779,13.674,14.294,14.587,14.408,NA,14.325,16.111,16.111
10/26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.727,14.759,15.391,14.242,13.706,13.581,14.118,14.709,14.000,NA,14.275,16.111,16.111
10/27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.423,14.807,15.297,14.139,13.660,13.793,13.474,14.634,14.192,NA,14.250,15.000,16.111
10/28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.083,14.607,15.506,13.917,13.418,13.900,12.963,14.494,14.348,NA,14.071,15.000,15.556
10/29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.114,14.233,15.225,13.689,13.048,13.925,13.033,14.249,14.071,NA,13.658,14.444,15.556
10/30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.959,13.983,14.587,12.960,12.851,13.759,13.101,13.832,13.725,NA,13.208,14.444,15.556
10/31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.754,13.568,13.737,NA,12.832,13.753,13.163,13.435,13.408,NA,12.733,13.889,15.000
11/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.642,13.280,13.484,11.555,12.840,13.650,12.715,13.364,13.321,NA,12.433,13.889,15.000
11/2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.358,13.121,13.357,11.397,12.757,13.497,12.200,NA,13.125,NA,12.113,13.889,15.000
11/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.141,12.925,12.638,NA,12.786,13.520,12.066,NA,13.000,NA,11.867,13.333,14.444
11/4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.849,12.403,12.555,11.148,12.770,13.250,12.104,NA,13.129,NA,11.513,13.333,14.444
11/5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.538,11.989,12.168,11.202,12.686,12.935,11.903,NA,13.058,NA,11.604,13.333,14.444
11/6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.142,11.841,11.842,10.988,12.409,12.816,11.681,12.965,13.017,NA,11.629,13.333,13.889
11/7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.994,11.820,11.594,10.830,12.129,12.633,11.625,12.643,13.038,NA,11.471,12.778,13.889
11/8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.859,11.663,11.255,11.062,11.681,12.333,11.527,12.509,12.825,NA,11.646,12.222,13.889
11/9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.526,11.602,11.139,11.158,11.309,12.054,11.590,12.227,12.554,NA,11.354,12.222,12.778
11/10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.253,11.599,11.147,11.020,10.992,11.729,11.612,11.893,12.188,NA,11.063,12.222,12.778
11/11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.251,11.568,10.871,10.864,10.787,11.280,11.658,11.745,11.867,NA,10.963,12.222,12.778
11/12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.098,11.359,10.563,10.810,10.604,11.094,11.648,11.810,11.683,NA,10.858,12.222,12.222
11/13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.965,11.194,10.240,10.813,10.785,10.673,11.619,11.852,11.271,NA,10.650,12.222,12.222
11/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.780,11.123,10.178,10.762,10.946,10.340,11.561,11.873,11.183,NA,10.788,11.667,12.222
11/15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.378,11.066,10.062,10.480,11.030,10.340,11.550,11.913,10.821,NA,10.817,13.333,12.222
11/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.122,11.115,9.878,9.696,10.981,10.073,11.619,11.800,10.467,NA,11.017,11.667,12.222
11/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.866,11.029,9.560,10.027,10.964,9.609,11.496,11.520,10.488,NA,11.617,11.667,11.111
11/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.481,10.857,9.450,10.080,10.795,9.424,11.184,11.403,10.575,NA,11.713,11.111,11.111
11/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.130,10.624,9.569,10.194,10.603,9.148,10.910,11.298,10.413,NA,10.308,10.556,11.111
11/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.950,10.414,9.206,10.289,10.477,8.833,10.844,11.068,10.346,NA,10.029,11.111,11.111
11/21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.694,10.186,9.018,10.356,10.424,8.472,9.916,10.919,10.167,NA,9.037,10.556,11.111
11/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.403,10.020,8.882,10.364,10.249,8.273,9.835,10.630,9.867,NA,9.454,10.556,11.111
11/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.168,9.905,8.533,10.370,10.008,8.022,10.758,10.471,9.675,NA,10.508,10.000,10.556
11/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.940,10.066,8.417,10.358,9.870,8.137,10.206,10.546,9.721,NA,11.596,10.000,10.556
11/25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.929,10.193,8.405,10.120,9.816,8.033,10.676,10.498,9.550,NA,10.288,9.444,8.889
11/26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.059,10.027,8.338,9.766,9.861,7.982,10.487,10.460,9.313,NA,8.875,NA,8.889
11/27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.960,9.821,8.318,9.499,9.630,8.048,10.271,10.478,9.225,NA,9.750,NA,8.333
11/28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.655,9.576,8.243,9.274,9.176,7.768,10.156,10.403,9.225,NA,12.388,NA,8.333
11/29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.273,9.250,8.359,9.016,8.882,7.382,9.765,10.281,9.117,NA,11.613,NA,7.778
11/30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.206,9.012,8.376,8.865,8.853,7.415,9.715,10.062,8.992,NA,10.588,8.889,8.333
12/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.079,9.056,8.108,8.986,8.785,7.358,9.679,9.762,8.846,NA,9.104,8.889,7.222
12/2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.885,9.091,7.950,9.296,8.653,7.178,9.564,9.637,8.554,NA,8.108,8.889,7.778
12/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.867,9.036,8.009,8.899,8.586,7.189,9.320,9.450,8.246,NA,6.746,8.333,7.778
12/4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.790,8.935,7.795,8.720,8.575,7.008,9.175,9.393,8.150,NA,7.763,8.333,7.778
12/5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.725,8.863,7.537,8.605,8.597,6.890,9.012,9.329,7.954,NA,7.929,8.333,NA
12/6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.483,8.707,7.650,8.485,8.603,6.749,9.013,9.055,7.717,NA,5.246,8.333,7.778
12/7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.985,8.541,7.699,8.486,8.432,6.722,8.891,8.912,7.504,NA,6.113,7.222,7.778
12/8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.464,8.397,7.583,8.392,8.290,6.633,8.784,8.872,7.629,NA,7.879,7.222,7.778
12/9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.134,8.376,7.461,8.343,8.168,6.773,8.543,8.662,7.600,NA,6.446,7.222,7.778
12/10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.949,8.527,7.321,8.276,8.055,6.768,8.299,8.463,7.608,NA,5.287,7.222,6.667
12/11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.619,8.674,7.283,8.218,7.920,6.457,8.175,8.350,7.304,NA,3.525,7.222,6.667
12/12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.390,8.380,7.141,8.061,7.804,6.021,8.259,8.201,7.217,NA,7.204,7.222,7.222
12/13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.523,7.824,7.101,7.965,7.738,5.883,7.715,8.184,6.900,NA,7.642,NA,NA
12/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.340,7.819,7.038,7.943,7.618,5.705,7.846,8.026,6.621,NA,6.100,NA,NA
12/15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.784,7.930,6.981,7.262,7.348,5.763,7.823,7.743,6.683,NA,6.013,NA,6.667
12/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.504,7.703,6.995,7.865,7.217,5.801,7.893,7.555,6.738,NA,5.771,NA,6.667
12/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.390,7.554,6.965,7.779,7.225,5.867,8.001,7.321,6.821,NA,3.850,NA,6.667
12/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.183,7.532,6.725,7.674,7.025,5.715,7.938,7.198,6.929,NA,4.354,NA,6.667
12/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.859,7.459,6.458,7.503,6.877,5.649,7.772,6.638,6.996,NA,5.246,NA,6.667
12/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.804,7.498,6.442,7.233,6.835,5.663,7.608,5.903,6.833,NA,5.567,6.667,6.667
12/21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.885,7.426,6.568,7.127,6.779,5.289,7.343,5.443,6.796,NA,5.800,6.667,6.667
12/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.888,7.336,6.523,7.199,6.652,4.988,7.173,5.043,6.633,NA,4.967,NA,7.222
12/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.942,7.301,6.287,7.111,6.593,4.963,6.968,4.964,6.429,NA,5.729,NA,6.667
12/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.076,7.281,6.235,6.952,6.571,5.034,6.747,4.958,6.442,5.767,4.083,NA,6.667
12/25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.111,7.131,6.285,6.918,6.343,4.983,6.681,5.100,6.371,5.508,3.058,NA,6.667
12/26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.181,6.947,6.224,6.889,6.053,4.718,6.623,5.210,6.150,4.646,2.358,NA,6.667
12/27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.250,6.726,6.142,6.968,5.783,4.651,6.592,5.088,6.217,4.246,3.625,NA,6.667
12/28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.348,6.445,6.045,6.967,5.612,4.620,6.457,5.103,6.375,4.479,4.592,NA,5.556
12/29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.411,6.275,5.803,6.880,5.542,4.490,6.348,5.002,6.529,3.654,3.104,NA,5.556
12/30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.330,6.206,5.520,6.808,5.595,4.580,6.114,5.278,6.454,3.488,4.588,NA,5.556
12/31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.316,6.128,5.270,6.740,5.608,4.545,5.978,5.203,6.158,3.775,7.129,NA,5.556


Notes:
Columbia River DART
Generated 02 Jan 2024 11:33:18 PST. DART River Environment Graphics & Text www.cbr.washington.edu/dart/query/river_graph_text.

"DART Data Citation. Columbia River DART, Columbia Basin Research, University of Washington. (2024). River Environment Graphics & Text. Available from https://www.cbr.washington.edu/dart/query/river_graph_text."
