
mm/dd,2018:BON:tempc (C),2017:BON:tempc (C),2016:BON:tempc (C),2015:BON:tempc (C),2014:BON:tempc (C),2013:BON:tempc (C),2012:BON:tempc (C),2011:BON:tempc (C),2010:BON:tempc (C),2009:BON:tempc (C),2008:BON:tempc (C),2007:BON:tempc (C),2006:BON:tempc (C),2005:BON:tempc (C),2004:BON:tempc (C),2003:BON:tempc (C),2002:BON:tempc (C),2001:BON:tempc (C),2000:BON:tempc (C),1999:BON:tempc (C),1998:BON:tempc (C),1997:BON:tempc (C),1996:BON:tempc (C),1995:BON:tempc (C),1994:BON:tempc (C),1993:BON:tempc (C)
2/9,NA,NA,5.000,4.444,NA,NA,NA,NA,NA,NA,NA,NA,4.728,4.133,4.296,5.466,4.704,4.083,4.084,4.189,4.950,2.842,NA,NA,4.444,3.333
2/10,NA,NA,5.000,4.444,NA,NA,NA,NA,NA,NA,NA,NA,4.675,4.170,4.261,5.649,4.727,3.946,4.071,4.037,4.900,2.875,NA,NA,4.444,3.333
2/11,NA,NA,5.000,5.000,NA,NA,NA,NA,NA,NA,NA,NA,4.596,4.200,4.238,5.726,4.760,3.812,4.148,3.996,4.888,2.788,NA,NA,4.444,3.333
2/12,NA,2.222,5.000,5.000,NA,NA,NA,NA,NA,NA,NA,NA,4.573,4.253,4.217,5.720,4.580,3.877,4.268,4.016,4.963,2.742,NA,NA,4.444,3.333
2/13,NA,2.222,5.000,5.000,NA,NA,NA,NA,NA,NA,NA,NA,4.687,4.352,4.120,5.714,4.430,3.972,4.342,4.087,5.129,2.838,NA,NA,4.444,3.889
2/14,NA,2.222,5.000,5.000,NA,NA,NA,NA,NA,NA,NA,NA,4.702,4.422,4.117,5.772,4.562,4.049,4.295,4.128,5.200,3.100,NA,NA,4.444,3.889
2/15,NA,2.222,5.000,5.000,NA,NA,NA,NA,NA,NA,NA,NA,4.661,4.385,4.180,5.807,4.548,4.130,4.308,4.137,5.288,3.354,NA,NA,4.444,4.444
2/16,NA,1.667,5.000,5.000,NA,NA,NA,NA,NA,NA,NA,NA,4.478,4.288,4.174,5.816,4.590,4.193,4.347,4.153,5.308,3.308,NA,NA,5.000,4.444
2/17,NA,1.667,5.000,5.000,NA,NA,NA,NA,NA,NA,NA,NA,3.975,4.216,4.043,5.805,4.630,4.117,4.508,4.280,5.383,3.442,NA,NA,5.000,4.444
2/18,NA,1.667,5.556,5.000,NA,NA,NA,NA,NA,NA,NA,NA,3.510,4.133,4.009,5.846,4.701,3.975,4.607,4.311,5.383,3.617,NA,NA,5.000,NA
2/19,NA,2.222,5.000,5.000,NA,NA,NA,NA,NA,NA,NA,NA,3.313,4.134,4.128,5.910,4.805,4.009,4.595,4.285,5.425,3.725,NA,NA,4.444,NA
2/20,NA,1.667,5.000,5.556,NA,NA,NA,NA,NA,NA,NA,NA,3.258,4.228,4.199,5.954,4.912,4.101,4.465,4.246,5.446,3.888,NA,NA,3.889,NA
2/21,NA,2.222,5.000,5.556,NA,NA,NA,NA,NA,NA,NA,4.147,3.368,4.314,4.250,6.071,4.950,4.218,4.448,4.312,5.408,4.017,NA,NA,3.889,NA
2/22,NA,2.222,5.000,5.556,NA,NA,NA,NA,NA,NA,NA,4.100,3.645,4.288,4.335,6.199,5.108,4.301,4.509,4.431,5.482,4.196,NA,NA,4.444,NA
